epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.057,1.88834,2.91759,1.85132,0.20207,0.33755,0.18012,0.06936,2.13931,2.76899,2.18981,0.000547614,0.000547614,0.000547614
2,33.1712,1.91853,2.4214,1.8984,0.22904,0.30697,0.18234,0.07613,2.10471,3.21906,2.49026,0.00108508,0.00108508,0.00108508
3,48.4682,1.93557,2.28355,1.89835,0.19375,0.23895,0.12309,0.04916,2.12715,3.22904,2.2921,0.0016042,0.0016042,0.0016042
4,63.1502,1.99995,2.33739,1.93921,0.23264,0.28876,0.18584,0.07388,2.24236,3.51727,2.32965,0.00158448,0.00158448,0.00158448
5,77.608,1.97936,2.2659,1.95175,0.18223,0.11815,0.08601,0.03757,2.70995,3.16816,3.17298,0.00155698,0.00155698,0.00155698
6,91.9742,1.9071,2.16482,1.89652,0.27832,0.37539,0.27526,0.12112,2.01385,2.26698,2.19988,0.00152947,0.00152947,0.00152947
7,106.629,1.96363,2.21416,1.96413,0.23797,0.42973,0.24678,0.09645,2.11695,2.32226,2.20565,0.00150197,0.00150197,0.00150197
8,121.219,1.88908,2.1093,1.88528,0.30191,0.26409,0.24417,0.10994,2.07963,2.15277,2.15936,0.00147446,0.00147446,0.00147446
9,135.724,1.90189,2.13676,1.87919,0.28205,0.33302,0.25185,0.10671,2.03975,2.2462,2.14781,0.00144696,0.00144696,0.00144696
10,150.307,1.84612,2.06223,1.85748,0.35413,0.38691,0.30808,0.13425,2.15242,2.06026,2.20543,0.00141945,0.00141945,0.00141945
11,164.833,1.83217,1.97484,1.81727,0.32344,0.38121,0.3185,0.15653,1.93257,2.06309,2.07115,0.00139195,0.00139195,0.00139195
12,179.731,1.80606,1.96778,1.8043,0.42055,0.33015,0.3196,0.15273,1.97209,2.12188,2.08172,0.00136444,0.00136444,0.00136444
13,194.466,1.81117,1.92999,1.80232,0.36161,0.40543,0.31684,0.1499,1.95749,2.01497,2.04729,0.00133693,0.00133693,0.00133693
14,209.076,1.71735,1.86782,1.76741,0.36276,0.40101,0.29761,0.13505,1.91098,2.05755,2.00481,0.00130943,0.00130943,0.00130943
15,223.586,1.76514,1.92051,1.78427,0.39984,0.37845,0.34223,0.15653,1.91722,2.26742,2.03508,0.00128192,0.00128192,0.00128192
16,238.205,1.77347,1.92034,1.78972,0.4384,0.37622,0.321,0.15153,1.88272,2.3597,2.03916,0.00125442,0.00125442,0.00125442
17,252.689,1.69936,1.85849,1.75988,0.35333,0.40661,0.36161,0.16543,1.89579,1.90037,2.01004,0.00122691,0.00122691,0.00122691
18,267.343,1.67939,1.78518,1.73196,0.53068,0.35257,0.38825,0.19,1.86329,1.89793,2.00512,0.00119941,0.00119941,0.00119941
19,281.951,1.67934,1.72134,1.71507,0.45672,0.38511,0.39253,0.18902,1.84696,1.84001,1.99855,0.0011719,0.0011719,0.0011719
20,296.462,1.66392,1.69746,1.70763,0.47536,0.36803,0.35786,0.15797,1.93828,2.05534,2.00222,0.0011444,0.0011444,0.0011444
21,310.994,1.63996,1.69195,1.7079,0.47473,0.40165,0.39159,0.18876,1.92057,1.7871,2.01827,0.00111689,0.00111689,0.00111689
22,325.6,1.65776,1.66366,1.67149,0.42293,0.44446,0.35935,0.16195,1.9219,1.88534,2.01012,0.00108938,0.00108938,0.00108938
23,340.213,1.65257,1.61411,1.67719,0.48097,0.4459,0.43355,0.20977,1.83019,1.73746,1.96595,0.00106188,0.00106188,0.00106188
24,354.577,1.57765,1.61785,1.67121,0.44372,0.37749,0.38657,0.16955,1.87713,1.9203,2.00805,0.00103437,0.00103437,0.00103437
25,369.328,1.59894,1.58006,1.66803,0.47936,0.45415,0.42278,0.19536,1.83379,1.79874,1.9385,0.00100687,0.00100687,0.00100687
26,384.325,1.55858,1.5596,1.61973,0.49526,0.46031,0.48639,0.23819,1.82353,1.64658,1.94746,0.000979362,0.000979362,0.000979362
27,414.514,1.53255,1.49466,1.61422,0.47713,0.42441,0.40939,0.1854,1.92563,1.82517,2.0128,0.000951857,0.000951857,0.000951857
28,429.976,1.52416,1.45542,1.59228,0.55578,0.41813,0.4643,0.20595,1.87806,1.76518,1.99183,0.000924352,0.000924352,0.000924352
29,446.799,1.55864,1.48632,1.63146,0.49173,0.43237,0.41674,0.20127,1.88586,1.85279,1.9583,0.000896846,0.000896846,0.000896846
30,464.13,1.51102,1.45137,1.58041,0.51123,0.43541,0.40722,0.19597,1.89477,1.78459,1.96573,0.00086934,0.00086934,0.00086934
31,481.366,1.51276,1.43336,1.603,0.42704,0.48796,0.46151,0.219,1.90195,1.77282,1.99296,0.000841835,0.000841835,0.000841835
32,498.418,1.4997,1.37086,1.55986,0.61406,0.38331,0.43984,0.21487,1.88155,1.78144,1.98994,0.000814329,0.000814329,0.000814329
33,513.604,1.47396,1.35166,1.58407,0.47421,0.4728,0.45369,0.21899,1.83595,1.68786,1.93274,0.000786824,0.000786824,0.000786824
34,528.513,1.45868,1.3551,1.55687,0.5302,0.37009,0.39272,0.18441,1.97354,1.84182,2.05269,0.000759318,0.000759318,0.000759318
35,543.629,1.42979,1.32914,1.53019,0.47192,0.49932,0.46318,0.22402,1.85998,1.67426,1.92425,0.000731813,0.000731813,0.000731813
36,558.747,1.42667,1.30729,1.52772,0.57933,0.46157,0.50307,0.24514,1.84361,1.62175,1.93794,0.000704307,0.000704307,0.000704307
37,573.776,1.40688,1.24964,1.5151,0.53279,0.44876,0.47764,0.23636,1.90846,1.64246,2.00514,0.000676802,0.000676802,0.000676802
38,588.785,1.38279,1.24107,1.51052,0.52764,0.41978,0.47685,0.23027,1.87244,1.63125,1.99464,0.000649297,0.000649297,0.000649297
39,603.9,1.37552,1.24474,1.501,0.57955,0.43412,0.46374,0.22491,1.88241,1.7467,1.98878,0.000621791,0.000621791,0.000621791
40,618.754,1.3353,1.19612,1.46358,0.55266,0.45573,0.49881,0.24129,1.84632,1.5749,1.96628,0.000594286,0.000594286,0.000594286
41,633.503,1.32768,1.15696,1.44297,0.43159,0.45618,0.43225,0.20351,1.94497,1.68764,2.03914,0.00056678,0.00056678,0.00056678
42,648.154,1.31166,1.13941,1.44939,0.58195,0.45148,0.49074,0.23253,1.84403,1.61969,1.96565,0.000539275,0.000539275,0.000539275
43,662.675,1.29029,1.13974,1.42676,0.62509,0.43064,0.49677,0.23518,1.85737,1.59345,1.95513,0.000511769,0.000511769,0.000511769
44,677.277,1.30016,1.09317,1.44066,0.61827,0.45933,0.49581,0.24326,1.87533,1.55839,1.99258,0.000484263,0.000484263,0.000484263
45,691.969,1.28733,1.10323,1.42332,0.55605,0.45843,0.48512,0.22359,1.92671,1.58761,2.03295,0.000456758,0.000456758,0.000456758
46,706.394,1.26612,1.04665,1.4073,0.59378,0.44935,0.50343,0.22822,1.93808,1.56033,2.04712,0.000429253,0.000429253,0.000429253
47,913.714,1.23379,1.04871,1.41113,0.60333,0.46553,0.52668,0.24473,1.90432,1.55126,1.98828,0.000401747,0.000401747,0.000401747
48,928.836,1.23779,1.04197,1.37883,0.62919,0.44544,0.51475,0.23777,1.90867,1.55418,1.98837,0.000374242,0.000374242,0.000374242
49,943.431,1.22983,1.04406,1.37614,0.53274,0.51331,0.51901,0.24398,1.91946,1.5225,2.06296,0.000346736,0.000346736,0.000346736
50,957.918,1.17604,0.98586,1.34239,0.51203,0.55402,0.50395,0.24266,1.92711,1.57183,2.02279,0.000319231,0.000319231,0.000319231
