epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.784,1.48886,1.89006,1.42218,0.41974,0.28678,0.21766,0.1299,1.33345,1.55256,1.28641,0.00333263,0.00333263,0.00333263
2,898.695,1.46553,1.5866,1.37258,0.47731,0.27496,0.25437,0.14493,1.42432,1.64709,1.36023,0.00650098,0.00650098,0.00650098
3,1316.35,1.55622,1.67494,1.42056,0.17044,0.22988,0.15358,0.08334,1.51878,1.87081,1.43504,0.00950433,0.00950433,0.00950433
4,1728.93,1.59663,1.72096,1.45629,0.37611,0.27486,0.17323,0.08807,1.53206,1.77396,1.42711,0.0092575,0.0092575,0.0092575
5,2142.79,1.55365,1.65372,1.43451,0.38251,0.30541,0.20911,0.12266,1.44111,1.80569,1.37479,0.00901,0.00901,0.00901
6,2556.27,1.51102,1.57747,1.41087,0.46848,0.30919,0.26164,0.14096,1.37335,1.52114,1.3433,0.0087625,0.0087625,0.0087625
7,2970.15,1.47776,1.51851,1.38166,0.4247,0.3185,0.25382,0.14347,1.35518,1.61328,1.32639,0.008515,0.008515,0.008515
8,3383.89,1.44935,1.48569,1.36806,0.40829,0.29798,0.24797,0.14543,1.31871,1.48476,1.31521,0.0082675,0.0082675,0.0082675
9,3797.79,1.42523,1.44968,1.36324,0.48309,0.31807,0.28577,0.15803,1.29603,1.41739,1.30004,0.00802,0.00802,0.00802
10,4212.04,1.41031,1.40604,1.34034,0.47761,0.38789,0.30236,0.17061,1.2727,1.37003,1.283,0.0077725,0.0077725,0.0077725
11,4626.72,1.38972,1.37248,1.33442,0.4757,0.3318,0.33579,0.19476,1.25137,1.3578,1.2664,0.007525,0.007525,0.007525
12,5041.32,1.37075,1.33479,1.31663,0.47295,0.38149,0.36557,0.21591,1.20647,1.27016,1.23671,0.0072775,0.0072775,0.0072775
13,5455.33,1.35359,1.31965,1.30458,0.4699,0.34143,0.34121,0.19328,1.22362,1.26313,1.25022,0.00703,0.00703,0.00703
14,5870.69,1.33789,1.28697,1.29555,0.54355,0.40709,0.41225,0.23837,1.20038,1.29867,1.23282,0.0067825,0.0067825,0.0067825
15,6282.87,1.32113,1.25223,1.28434,0.46773,0.39934,0.40055,0.24813,1.17741,1.22611,1.2094,0.006535,0.006535,0.006535
16,6696.53,1.30575,1.2221,1.26926,0.48545,0.42993,0.42626,0.25498,1.17521,1.2038,1.21942,0.0062875,0.0062875,0.0062875
17,7109.4,1.29183,1.19755,1.25961,0.50648,0.44966,0.4262,0.25207,1.16051,1.14487,1.20726,0.00604,0.00604,0.00604
18,7523.36,1.284,1.18307,1.2567,0.44872,0.49064,0.42055,0.2521,1.14132,1.13516,1.19121,0.0057925,0.0057925,0.0057925
19,7937.31,1.27149,1.15676,1.24528,0.52536,0.45165,0.44158,0.26672,1.13598,1.12663,1.18779,0.005545,0.005545,0.005545
20,8352.29,1.25805,1.13376,1.23775,0.50579,0.49125,0.46739,0.27537,1.10769,1.05054,1.17029,0.0052975,0.0052975,0.0052975
21,8768.33,1.24373,1.10522,1.22367,0.51322,0.50614,0.49473,0.30729,1.09921,1.03154,1.1586,0.00505,0.00505,0.00505
22,9183.04,1.22997,1.08109,1.21342,0.50788,0.48168,0.44873,0.28112,1.08729,1.03,1.14579,0.0048025,0.0048025,0.0048025
23,9597.05,1.22101,1.06252,1.20973,0.53574,0.47403,0.4671,0.29717,1.07702,1.0304,1.14743,0.004555,0.004555,0.004555
24,10011.1,1.20743,1.04317,1.20276,0.57212,0.47103,0.47937,0.3074,1.06226,1.01159,1.13987,0.0043075,0.0043075,0.0043075
25,10425.3,1.19778,1.02416,1.19458,0.5662,0.47739,0.50918,0.31418,1.06407,0.98443,1.13481,0.00406,0.00406,0.00406
26,10837.4,1.17795,1.00318,1.18124,0.59221,0.46192,0.50829,0.30693,1.05713,0.95178,1.13486,0.0038125,0.0038125,0.0038125
27,11251.6,1.17355,0.98732,1.18076,0.54522,0.50351,0.52346,0.32329,1.04544,0.94837,1.12089,0.003565,0.003565,0.003565
28,11665.8,1.15889,0.96295,1.17014,0.61958,0.46373,0.51945,0.32637,1.04017,0.93366,1.12072,0.0033175,0.0033175,0.0033175
29,12078.6,1.14554,0.94025,1.1572,0.57185,0.50847,0.52694,0.33889,1.0325,0.91209,1.11225,0.00307,0.00307,0.00307
30,12492.9,1.13915,0.92992,1.15476,0.56392,0.53311,0.53562,0.33568,1.02393,0.88854,1.11193,0.0028225,0.0028225,0.0028225
